Designation,d[mm],D[mm],B[mm],C[kN],Co[kN],Pu[kN],G-Speed[r/min],O-Speed[r/min]
706 ACE/HCP4A,6.0,17.0,6.0,1.51,0.49,0.015,150000.0,230000.0
706 ACE/HCP4AH,6.0,17.0,6.0,1.51,0.49,0.015,150000.0,230000.0
706 ACE/P4A,6.0,17.0,6.0,1.51,0.49,0.02,127000.0,195000.0
706 ACE/P4AH,6.0,17.0,6.0,1.51,0.49,0.02,127000.0,195000.0
706 CE/HCP4A,6.0,17.0,6.0,1.56,0.5,0.016,170000.0,260000.0
706 CE/HCP4AH,6.0,17.0,6.0,1.56,0.5,0.016,170000.0,260000.0
706 CE/P4A,6.0,17.0,6.0,1.56,0.5,0.022,140000.0,220000.0
706 CE/P4AH,6.0,17.0,6.0,1.56,0.5,0.022,140000.0,220000.0
706 ACD/HCP4A,6.0,17.0,6.0,1.95,0.75,0.024,130000.0,190000.0
706 ACD/HCP4AH,6.0,17.0,6.0,1.95,0.75,0.024,130000.0,190000.0
706 ACD/P4A,6.0,17.0,6.0,1.95,0.75,0.032,110000.0,160000.0
706 ACD/P4AH,6.0,17.0,6.0,1.95,0.75,0.032,110000.0,160000.0
706 CD/HCP4A,6.0,17.0,6.0,2.03,0.765,0.024,140000.0,220000.0
706 CD/HCP4AH,6.0,17.0,6.0,2.03,0.765,0.024,140000.0,220000.0
706 CD/P4A,6.0,17.0,6.0,2.03,0.765,0.032,120000.0,180000.0
706 CD/P4AH,6.0,17.0,6.0,2.03,0.765,0.032,120000.0,180000.0
707 ACE/HCP4A,7.0,19.0,6.0,1.86,0.62,0.019,133000.0,205000.0
707 ACE/HCP4AH,7.0,19.0,6.0,1.86,0.62,0.019,133000.0,205000.0
707 ACE/P4A,7.0,19.0,6.0,1.86,0.62,0.026,112000.0,175000.0
707 ACE/P4AH,7.0,19.0,6.0,1.86,0.62,0.026,112000.0,175000.0
707 CE/HCP4A,7.0,19.0,6.0,1.95,0.64,0.02,150000.0,230000.0
