Designation,d[mm],D[mm],B[mm],C[kN],Co[kN],Pu[kN],G-Speed[r/min],O-Speed[r/min]
BTW 35 CTN9/SP,35.0,62.0,34.0,16.8,39.0,1.83,11000.0,14000.0
BTW 40 CTN9/SP,40.0,68.0,36.0,19.5,46.5,2.24,10000.0,13000.0
BTW 45 CTN9/SP,45.0,75.0,38.0,22.1,54.0,2.6,9500.0,12000.0
BTW 50 CTN9/SP,50.0,80.0,38.0,22.5,60.0,2.85,9000.0,11000.0
BTW 55 CTN9/SP,55.0,90.0,44.0,30.2,80.0,3.8,7500.0,9000.0
BTM 60 ATN9/P4CDB,60.0,95.0,33.0,21.6,43.0,1.86,10100.0,12900.0
BTM 60 ATN9/HCP4CDB,60.0,95.0,33.0,21.6,43.0,1.86,12700.0,15200.0
BTM 60 BTN9/P4CDB,60.0,95.0,33.0,25.0,50.0,2.12,9000.0,11500.0
BTM 60 BTN9/HCP4CDB,60.0,95.0,33.0,25.0,50.0,2.12,11100.0,13300.0
BTW 60 CTN9/SP,60.0,95.0,44.0,30.7,83.0,4.0,7500.0,9000.0
BTM 65 ATN9/P4CDB,65.0,100.0,33.0,22.0,47.5,2.0,9500.0,12100.0
BTM 65 ATN9/HCP4CDB,65.0,100.0,33.0,22.0,47.5,2.0,11900.0,14200.0
BTM 65 BTN9/P4CDB,65.0,100.0,33.0,26.0,54.0,2.32,8400.0,10900.0
BTM 65 BTN9/HCP4CDB,65.0,100.0,33.0,26.0,54.0,2.32,10400.0,12400.0
BTW 65 CTN9/SP,65.0,100.0,44.0,31.9,90.0,4.3,7000.0,8500.0
BTM 70 ATN9/P4CDB,70.0,110.0,36.0,27.5,58.5,2.45,8700.0,11100.0
BTM 70 ATN9/HCP4CDB,70.0,110.0,36.0,27.5,58.5,2.45,10900.0,13000.0
BTM 70 BTN9/P4CDB,70.0,110.0,36.0,32.0,67.0,2.85,7700.0,9900.0
BTM 70 BTN9/HCP4CDB,70.0,110.0,36.0,32.0,67.0,2.85,9500.0,11300.0
BTW 70 CTN9/SP,70.0,110.0,48.0,39.0,112.0,5.3,6700.0,8000.0
BTM 75 ATN9/P4CDB,75.0,115.0,36.0,27.5,61.0,2.6,8200.0,10400.0
BTM 75 ATN9/HCP4CDB,75.0,115.0,36.0,27.5,61.0,2.6,10300.0,12300.0
BTM 75 BTN9/P4CDB,75.0,115.0,36.0,32.5,69.5,2.9,7300.0,9400.0
BTM 75 BTN9/HCP4CDB,75.0,115.0,36.0,32.5,69.5,2.9,9000.0,10700.0
BTW 75 CTN9/SP,75.0,115.0,48.0,39.7,116.0,5.6,6300.0,7500.0
BTM 80 ATN9/P4CDB,80.0,125.0,40.5,33.5,73.5,3.1,7600.0,9700.0
BTM 80 ATN9/HCP4CDB,80.0,125.0,40.5,33.5,73.5,3.1,9600.0,11500.0
BTM 80 BTN9/P4CDB,80.0,125.0,40.5,39.0,85.0,3.55,6800.0,8700.0
BTM 80 BTN9/HCP4CDB,80.0,125.0,40.5,39.0,85.0,3.55,8400.0,10000.0
BTW 80 CTN9/SP,80.0,125.0,54.0,47.5,140.0,6.55,5600.0,6700.0
BTM 85 ATN9/P4CDB,85.0,130.0,40.5,33.5,78.0,3.15,7300.0,9300.0
BTM 85 ATN9/HCP4CDB,85.0,130.0,40.5,33.5,78.0,3.15,9100.0,10900.0
BTM 85 BTN9/P4CDB,85.0,130.0,40.5,40.0,88.0,3.6,6400.0,8300.0
BTM 85 BTN9/HCP4CDB,85.0,130.0,40.5,40.0,88.0,3.6,8000.0,9500.0
BTW 85 CTN9/SP,85.0,130.0,54.0,48.8,146.0,6.7,5600.0,6700.0
BTM 90 ATN9/P4CDB,90.0,140.0,45.0,39.0,91.5,3.55,6800.0,8700.0
BTM 90 ATN9/HCP4CDB,90.0,140.0,45.0,39.0,91.5,3.55,8500.0,10100.0
BTM 90 BTN9/P4CDB,90.0,140.0,45.0,46.5,102.0,4.0,6000.0,7700.0
BTM 90 BTN9/HCP4CDB,90.0,140.0,45.0,46.5,102.0,4.0,7400.0,8800.0
BTW 90 CTN9/SP,90.0,140.0,60.0,55.9,173.0,7.65,5000.0,6000.0
BTM 95 ATN9/P4CDB,95.0,145.0,45.0,40.0,93.0,3.6,6500.0,8300.0
