Designation,d[mm],D[mm],B[mm],C[kN],Co[kN],Pu[kN],G-Speed[r/min],O-Speed[r/min]
BSA 201 CGA,12.0,32.0,10.0,11.8,21.2,0.8,14000.0,17000.0
BSA 202 CGA,15.0,35.0,11.0,12.7,25.5,0.95,12000.0,15000.0
BSA 203 C,17.0,40.0,12.0,16.6,34.5,1.27,11000.0,15000.0
BSA 204 CGA,20.0,47.0,14.0,22.0,49.0,1.8,9500.0,12000.0
BSA 205 CGA,25.0,52.0,15.0,22.4,52.0,1.93,9000.0,11000.0
BSA 305 CGA,25.0,62.0,17.0,28.5,71.0,2.65,8000.0,9500.0
BSA 206 CGA,30.0,62.0,16.0,28.5,71.0,2.65,8000.0,9500.0
BSA 306 C,30.0,72.0,19.0,41.5,104.0,3.9,7000.0,9500.0
BSA 207 CGB,35.0,72.0,17.0,36.5,98.0,3.65,7500.0,9000.0
BSA 307 C,35.0,80.0,21.0,57.0,146.0,5.4,6700.0,9500.0
BSA 208 C,40.0,80.0,18.0,42.5,112.0,4.15,6300.0,7500.0
BSA 308 CGA,40.0,90.0,23.0,67.0,180.0,6.7,6000.0,7000.0
BSA 209 C,45.0,85.0,18.0,45.0,134.0,4.9,6300.0,7500.0
BSA 210 C,50.0,90.0,20.0,46.5,146.0,5.4,6000.0,7000.0
BSD 55100 C,55.0,100.0,20.0,67.0,193.0,7.2,5600.0,6700.0
BSD 55120 C,55.0,120.0,20.0,69.5,228.0,8.5,5000.0,6000.0
BSA 212 C,60.0,110.0,22.0,69.5,216.0,8.0,5000.0,6000.0
BSD 60120 C,60.0,120.0,20.0,69.5,228.0,8.5,5000.0,6000.0
BSA 215 C,75.0,130.0,25.0,72.0,245.0,9.15,4300.0,5000.0
BSD 4575 CGB,,,,,,,,
BSD 4090 CGA,,,,,,,,
BSD 3062 CGA,,,,,,,,
BSD 3572 CGA,,,,,,,,
BSD 2562 CGA,,,,,,,,
BSD 50100 CGA,,,,,,,,
BSD 45100 CGA,,,,,,,,
BSD 2047 CGA,,,,,,,,
BSD 4072 CGA,,,,,,,,
