Designation,d[mm],D[mm],B[mm],C[kN],Co[kN],Pu[kN],G-Speed[r/min],O-Speed[r/min]
N 1008 KPHA/HC5SP,40.0,68.0,15.0,23.3,25.0,2.45,32000.0,38000.0
N 1008 KPHA/SP,40.0,68.0,15.0,23.3,25.0,2.9,30000.0,36000.0
N 1008 KTNHA/HC5SP,40.0,68.0,15.0,24.2,26.5,2.6,26000.0,36000.0
N 1008 KTNHA/SP,40.0,68.0,15.0,24.2,26.5,3.05,22000.0,32000.0
N 1008 KTN/HC5SP,40.0,68.0,15.0,25.1,28.0,2.75,18000.0,20000.0
N 1008 KTN/SP,40.0,68.0,15.0,25.1,28.0,3.2,15000.0,17000.0
N 1009 KPHA/HC5SP,45.0,75.0,16.0,27.0,30.0,2.9,30000.0,36000.0
N 1009 KPHA/SP,45.0,75.0,16.0,27.0,30.0,3.45,28000.0,34000.0
N 1009 KTNHA/HC5SP,45.0,75.0,16.0,28.1,31.0,3.1,22000.0,32000.0
N 1009 KTNHA/SP,45.0,75.0,16.0,28.1,31.0,3.65,20000.0,28000.0
N 1009 KTN/HC5SP,45.0,75.0,16.0,29.2,32.5,3.25,16000.0,18000.0
N 1009 KTN/SP,45.0,75.0,16.0,29.2,32.5,3.8,14000.0,15000.0
N 1010 KPHA/HC5SP,50.0,80.0,16.0,28.6,33.5,3.25,28000.0,32000.0
N 1010 KPHA/SP,50.0,80.0,16.0,28.6,33.5,3.8,26000.0,30000.0
N 1010 KTNHA/HC5SP,50.0,80.0,16.0,29.7,34.5,3.45,20000.0,28000.0
N 1010 KTNHA/SP,50.0,80.0,16.0,29.7,34.5,4.05,19000.0,26000.0
N 1010 KTN/HC5SP,50.0,80.0,16.0,30.8,36.5,3.6,15000.0,17000.0
N 1010 KTN/SP,50.0,80.0,16.0,30.8,36.5,4.25,13000.0,14000.0
N 1011 KPHA/HC5SP,55.0,90.0,18.0,37.4,44.0,4.5,24000.0,30000.0
N 1011 KPHA/SP,55.0,90.0,18.0,37.4,44.0,5.2,22000.0,28000.0
N 1011 KTNHA/HC5SP,55.0,90.0,18.0,39.1,46.5,4.65,19000.0,26000.0
N 1011 KTNHA/SP,55.0,90.0,18.0,39.1,46.5,5.5,17000.0,24000.0
N 1011 KTN/HC5SP,55.0,90.0,18.0,40.2,48.0,4.9,13000.0,15000.0
N 1011 KTN/SP,55.0,90.0,18.0,40.2,48.0,5.7,12000.0,13000.0
N 1012 KPHA/HC5SP,60.0,95.0,18.0,40.2,49.0,4.9,22000.0,28000.0
N 1012 KPHA/SP,60.0,95.0,18.0,40.2,49.0,5.85,20000.0,26000.0
N 1012 KTNHA/HC5SP,60.0,95.0,18.0,41.3,51.0,5.1,18000.0,24000.0
N 1012 KTNHA/SP,60.0,95.0,18.0,41.3,51.0,6.1,16000.0,22000.0
N 1012 KTN/HC5SP,60.0,95.0,18.0,42.9,53.0,5.4,12000.0,14000.0
N 1012 KTN/SP,60.0,95.0,18.0,42.9,53.0,6.3,11000.0,12000.0
N 1013 KPHA/HC5SP,65.0,100.0,18.0,42.9,54.0,5.4,22000.0,26000.0
N 1013 KPHA/SP,65.0,100.0,18.0,42.9,54.0,6.3,20000.0,24000.0
N 1013 KTNHA/HC5SP,65.0,100.0,18.0,44.0,56.0,5.6,17000.0,22000.0
N 1013 KTNHA/SP,65.0,100.0,18.0,44.0,56.0,6.55,15000.0,20000.0
N 1013 KTN/HC5SP,65.0,100.0,18.0,44.6,58.5,5.85,11000.0,13000.0
N 1013 KTN/SP,65.0,100.0,18.0,44.6,58.5,6.8,10000.0,11000.0
N 1014 KPHA/HC5SP,70.0,110.0,20.0,53.9,69.5,6.8,20000.0,24000.0
N 1014 KPHA/SP,70.0,110.0,20.0,53.9,69.5,8.0,18000.0,22000.0
N 1014 KTNHA/HC5SP,70.0,110.0,20.0,55.0,72.0,7.1,15000.0,20000.0
N 1014 KTNHA/SP,70.0,110.0,20.0,55.0,72.0,8.3,13000.0,19000.0
N 1014 KTN/HC5SP,70.0,110.0,20.0,57.2,75.0,7.35,10000.0,12000.0
N 1014 KTN/SP,70.0,110.0,20.0,57.2,75.0,8.65,9500.0,10000.0
N 1015 KPHA/HC5SP,75.0,115.0,20.0,52.8,69.5,6.8,19000.0,22000.0
N 1015 KPHA/SP,75.0,115.0,20.0,52.8,69.5,8.15,17000.0,20000.0
N 1015 KTNHA/HC5SP,75.0,115.0,20.0,55.0,72.0,7.2,14000.0,20000.0
N 1015 KTNHA/SP,75.0,115.0,20.0,55.0,72.0,8.5,13000.0,18000.0
N 1015 KTN/HC5SP,75.0,115.0,20.0,56.1,75.0,7.5,9500.0,11000.0
N 1015 KTN/SP,75.0,115.0,20.0,56.1,75.0,8.8,9000.0,9500.0
N 1016 KPHA/HC5SP,80.0,125.0,22.0,66.0,86.5,8.65,18000.0,20000.0
N 1016 KPHA/SP,80.0,125.0,22.0,66.0,86.5,10.2,16000.0,19000.0
